customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,TotalCharges
7590-00000,Male,0,No,No,66,Yes,No,No,Yes,Yes,Yes,No internet service,No,No,Two year,No,Mailed check,89.06,No,4828.46
7590-00001,Female,1,No,No,24,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Two year,Yes,Electronic check,85.55,No,2094.57
7590-00002,Male,0,No,No,60,Yes,No,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),22.61,No,1505.53
7590-00003,Male,0,Yes,No,25,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,55.51,No,1363.89
7590-00004,Male,0,Yes,No,33,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,71.07,No,2073.62
7590-00005,Female,1,Yes,No,8,Yes,No,No,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),59.96,No,493.39
7590-00006,Male,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,No,One year,No,Bank transfer (automatic),36.54,No,1273.68
7590-00007,Male,0,Yes,No,6,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,84.74,Yes,579.28
7590-00008,Male,0,Yes,No,29,Yes,Yes,No,No,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),117.54,Yes,3790.92
7590-00009,Female,0,Yes,Yes,65,Yes,No,No,No,No internet service,No,No,No,Yes,One year,Yes,Credit card (automatic),52.49,No,3521.64
7590-00010,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),114.74,No,3220.7
7590-00011,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,One year,No,Electronic check,94.28,No,7190.7
7590-00012,Male,0,No,No,57,Yes,No,DSL,Yes,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),51.24,Yes,3128.24
7590-00013,Male,0,No,Yes,54,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),60.43,No,3494.34
7590-00014,Female,0,Yes,No,13,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),81.27,No,1135.65
7590-00015,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,93.4,Yes,2852.29
7590-00016,Female,0,Yes,Yes,43,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),93.31,No,4147.19
7590-00017,Female,0,No,Yes,5,No,Yes,No,No,No,No,No,Yes,No internet service,One year,No,Electronic check,82.68,Yes,389.62
7590-00018,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,29.55,Yes,709.29
7590-00019,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,104.09,No,1380.64
7590-00020,Female,1,Yes,No,7,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.11,Yes,378.45
7590-00021,Male,0,Yes,No,23,Yes,No,DSL,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Electronic check,35.87,No,958.74
7590-00022,Female,0,Yes,Yes,38,Yes,Yes,No,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.57,Yes,1801.74
7590-00023,Female,1,Yes,No,48,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No,One year,No,Mailed check,22.31,No,1202.49
7590-00024,Female,0,No,No,62,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.2,No,4851.14
7590-00025,Female,0,Yes,No,25,Yes,No phone service,DSL,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,23.47,No,504.56
7590-00026,Female,0,No,No,9,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),22.45,No,180.12
7590-00027,Female,0,No,Yes,57,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No,Yes,One year,Yes,Electronic check,18.41,Yes,1258.56
7590-00028,Female,0,No,No,13,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,One year,Yes,Mailed check,18.73,No,243.99
